Nome	Total de Leads	Total de Leads Qualificados	Leads Qualificados no período	Eficiência
form-trial-experimente-o-octadesk	1238	1096	1035	0.8852988691437803
form-trial-experimente-o-octadesk-email	883	390	338	0.4416761041902605
lp-cxtrends-2017	2494	481	272	0.19286287089013632
site-exit-intent-consulting	237	214	214	0.9029535864978903
lp-planilha-cadastro-de-clientes	557	153	149	0.2746858168761221
planilha-chamados-de-atendimento	925	180	148	0.1945945945945946
site-modal-cotacao-ocean	171	163	141	0.9532163742690059
planilha-de-atendimento-ao-cliente	627	133	124	0.21212121212121213
typage-planilha-de-cadastro-de-clientes	110	107	107	0.9727272727272728
lp-manual-rapido-nps	884	107	99	0.12104072398190045
lp-jornada-do-cliente-agendor	700	121	93	0.17285714285714285
site-contato-footer	121	100	90	0.8264462809917356
blog-arrival-popup-ebook-17-dicas	482	87	81	0.18049792531120332
checklist-de-atendimento-ao-cliente	584	81	80	0.1386986301369863
site-modal-demo-home	105	83	77	0.7904761904761904
typage-planilha-controle-de-chamados	112	99	75	0.8839285714285714
site-contato	95	85	75	0.8947368421052632
kit-planejamento-treasy	4315	98	74	0.022711471610660488
como-melhorar-a-qualidade-no-atendimento-ao-cliente	590	84	67	0.1423728813559322
typage-planilha-atendimento	71	69	66	0.971830985915493
lp-fidelizar-clientes-e-melhorar-sua-empresa	533	63	57	0.11819887429643527
lp-gestao-de-pessoas-atendimento-cliente	396	53	52	0.13383838383838384
site-modal-demo-suporte	60	52	52	0.8666666666666667
jornada-do-cliente-agendor	987	54	50	0.0547112462006079
lp-consultoria-gratuita-octadesk	53	47	47	0.8867924528301887
lp-ad-atendimento-online	76	74	46	0.9736842105263158
blog-exit-intent-ebook-do-inferno-ao-ceu	196	46	45	0.23469387755102042
lp-infografico-satisfacao-do-cliente	187	46	41	0.24598930481283424
site-materiais-apresentacao-helpdesk-octadesk	107	50	41	0.4672897196261682
home	57	41	41	0.7192982456140351
site-modal-consultores-casos-de-sucesso	62	46	41	0.7419354838709677
lp-ad-sistema-chamados	53	50	40	0.9433962264150944
site-materiais-kitfix	74	45	38	0.6081081081081081
lp-ad-sistema-atendimento-cliente	46	43	35	0.9347826086956522
gestao-atendimento-ao-cliente-erp	276	35	35	0.12681159420289856
typage-ebook-dicas-qualidade	50	45	33	0.9
planilha-de-help-desk	382	33	32	0.08638743455497382
mini-form-contato-footer	70	42	32	0.6
lp-ad-gerenciador-contatos	31	30	30	0.967741935483871
base-treasy	2092	34	28	0.016252390057361378
lp-ad-help-desk	39	35	28	0.8974358974358975
typage-planilha-atendimento-b	31	28	25	0.9032258064516129
lp-avaliacao-gratuita-dny	30	23	23	0.7666666666666667
lp-demo-gratis-octadesk	30	25	22	0.8333333333333334
leads-co-mkt-agendor	583	22	22	0.03773584905660377
site-exit-intent-lp-atendimento-ao-cliente	24	22	22	0.9166666666666666
hubspot	6726	23	22	0.0034195658638120725
lp-gestao-de-processos-info	67	21	21	0.31343283582089554
IntegracaoExact	4216	24	21	0.0056925996204933585
lincoln-murphy-customer-success	234	32	20	0.13675213675213677
avaliacao-gratis-email-form-menu	30	20	20	0.6666666666666666
site-materiais-planilha-atendimento-octadesk	108	21	20	0.19444444444444445
lp-ad-controle-clientes	29	28	19	0.9655172413793104
site-materiais-nfbox	33	19	19	0.5757575757575758
solicitar-contato-popup	49	33	18	0.673469387755102
como-melhorar-a-qualidade-no-atendimento-ao-cliente-social	92	18	18	0.1956521739130435
black-fridaypre	22	17	17	0.7727272727272727
typage-planilha-help-desk	20	18	17	0.9
avaliacao-gratis-email-form-header	32	17	17	0.53125
site-materiais-ebook-fidelizar-clientes	97	21	17	0.21649484536082475
Criação de Conta - Dados de Acesso	1518	18	17	0.011857707509881422
leads-cxtrends	327	15	15	0.045871559633027525
Criação de Conta - Dados Pessoais	1502	15	15	0.009986684420772303
Criação de Conta - Dados da Empresa	1401	15	15	0.010706638115631691
lp-gestao-de-pessoas-infografico	37	14	14	0.3783783783783784
Criação de Conta - Sucesso	1251	14	14	0.011191047162270184
lp-ad-cadastro-clientes	18	15	13	0.8333333333333334
lp-ad-sistema-suporte	17	17	13	1.0
/qualidade-no-atendimento-ao-cliente/	44	13	13	0.29545454545454547
lp-kit-todas-as-planilhas	193	15	13	0.07772020725388601
site-exit-intent-funcionalidades	21	13	13	0.6190476190476191
como-reduzir-custos-com-atendimento-ao-cliente	168	14	12	0.08333333333333333
site-materiais-ebook-qualidade-atendimento	65	12	12	0.18461538461538463
/atendimento-ao-cliente	14	12	12	0.8571428571428571
blackfriday-2017	16	12	11	0.75
/excelencia-no-atendimento-importancia/	55	12	11	0.21818181818181817
kit-ebooks	160	12	11	0.075
como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2	190	11	11	0.05789473684210526
site-newsletter	31	11	11	0.3548387096774194
cybermonday-2017	12	10	10	0.8333333333333334
users-julho	571	10	10	0.017513134851138354
importacao-users-julho-tag-v2	571	10	10	0.017513134851138354
/funcionalidades/atendimento-ao-cliente	12	10	10	0.8333333333333334
site-modal-demo-funcionalidades	14	10	10	0.7142857142857143
avaliacao-gratuita-octadesk-social	14	9	9	0.6428571428571429
site-materiais-ebook-reduzir-custos	49	11	9	0.22448979591836735
experimente-gratis-header	17	9	9	0.5294117647058824
site-exit-intent-planos-precos	14	9	9	0.6428571428571429
lp-webinar-treasy	89	9	8	0.10112359550561797
lp-ad-programa-tickets	12	11	8	0.9166666666666666
site-materiais-infografico-processos	37	8	7	0.21621621621621623
/bom-atendimento-valorizacao-produto/	24	7	7	0.2916666666666667
ebook-satisfacao-do-cliente-site	33	7	7	0.21212121212121213
blog-newsletter-lateral	34	7	7	0.20588235294117646
exclusion_list_nov_17	1668	11	6	0.006594724220623501
site-materiais-ebook-gestao-de-pessoas-gama	32	7	6	0.21875
site-materiais-webinar-treinamento-octadesk	42	6	6	0.14285714285714285
/sistema-atendimento-online-ad	5	5	5	1.0
undefined	11	7	5	0.6363636363636364
/o-que-e-customer-centric/	17	5	5	0.29411764705882354
lp-vivadecora-co-mkt	315	5	5	0.015873015873015872
/planos-e-precos/sistema-de-chamados	8	5	5	0.625
site-modal-demo-partial	8	5	5	0.625
site-materiais-infografico-gestao-de-pessoas	27	4	4	0.14814814814814814
lp-info-marketing-de-retencao	10	4	4	0.4
blog-newsletter-footerbar-optinmonster	23	4	4	0.17391304347826086
base_webinar	421	4	4	0.009501187648456057
tecnologia-no-atendimento-info	21	4	4	0.19047619047619047
/monte-uma-central-de-atendimento-ao-cliente/	22	4	4	0.18181818181818182
/cultura-de-atendimento-o-que-e/	23	4	4	0.17391304347826086
site-exit-intent-help-desk-testeB	10	4	4	0.4
Cpia_de_Users_octa	280	4	4	0.014285714285714285
blog-exit-intent-lightbox-optinmonster	43	5	4	0.11627906976744186
site-materiais-infografico-satisfacao	21	3	3	0.14285714285714285
site-materiais-infografico-retencao	17	4	3	0.23529411764705882
typage-kit-planilhas-atendimento	7	5	3	0.7142857142857143
/gestao-de-pessoas-atendimento-ao-cliente/	10	3	3	0.3
ebook-satisfacao-do-cliente	45	3	3	0.06666666666666667
site-exit-intent-sistema-de-chamados	8	3	3	0.375
/sistema-de-chamados	6	3	3	0.5
/mau-atendimento-excelente-produto/	20	3	3	0.15
/chat-para-site	5	3	3	0.6
/materiais-para-helpdesk	5	3	3	0.6
/casos-de-sucesso/sistema-de-atendimento	3	3	3	1.0
rdsummit_cartoes	51	3	3	0.058823529411764705
/sistema-de-atendimento-ao-cliente-ad	2	2	2	1.0
/porque-nao-usar-planilha-de-atendimento/	4	2	2	0.5
/planos/sistema-de-chamados	4	2	2	0.5
/diferencas-service-desk-e-help-desk/	8	2	2	0.25
kit-ebooks-e-planilhas	13	2	2	0.15384615384615385
/sistema-de-atendimento-ao-cliente/	6	2	2	0.3333333333333333
/recrutamento-de-pessoas/	8	2	2	0.25
/help-desk	5	2	2	0.4
site-exit-intent-casos-de-sucesso	5	2	2	0.4
site-exit-intent-help-desk	4	2	2	0.5
avaliacao-gratis-menu	5	2	2	0.4
contabil-7-erros-mais-comuns	80	2	2	0.025
rdsummit2016_app	173	2	2	0.011560693641618497
como-reduzir-custos-com-atendimento-ao-cliente-v2	78	2	2	0.02564102564102564
blog-newsletter-final-post	30	2	2	0.06666666666666667
lp-seo-sistema-help-desk	3	2	1	0.6666666666666666
Criação de Conta - Intenção de Sair	121	1	1	0.008264462809917356
Untitled form 9/11/2017	1	1	1	1.0
/sistema-help-desk-ad	1	1	1	1.0
/sistema-de-chamados-ad	1	1	1	1.0
PreBlackFridayLeadAds	1	1	1	1.0
/planilha-de-help-desk/	2	1	1	0.5
/planilha-de-cadastro-de-clientes/	2	1	1	0.5
lp-seo-sistema-chamados	5	2	1	0.4
Campanha_Dia_do_contador	430	2	1	0.004651162790697674
/cadastro-de-clientes-ad	1	1	1	1.0
/7-dicas-bom-atendimento-ao-cliente/	6	1	1	0.16666666666666666
typage-kit-ebooks-planilhas	2	1	1	0.5
passed-clean-octadesk	165	1	1	0.006060606060606061
lp-jornada-do-cliente-agendor-social	7	1	1	0.14285714285714285
/dez-dicas-de-atendimento-ao-cliente-para-pequenas-empresas/	2	1	1	0.5
chat-para-site	2	1	1	0.5
topo-menu-experimente-o-octadesk	2	1	1	0.5
teste-utm-chat	1	1	1	1.0
site-exit-intent-freshdesk	2	1	1	0.5
infografico-como-atender-bem-seus-clientes-nas-redes-sociais	3	1	1	0.3333333333333333
guia-os-dez-mandamentos-de-sucesso-no-atendimento-ao-cliente	15	1	1	0.06666666666666667
/gestao-de-processos-no-atendimento/	12	1	1	0.08333333333333333
/ebooks-atendimento-ao-cliente/	1	1	1	1.0
/dicas-relacionamento-com-o-cliente/	6	2	1	0.3333333333333333
contabil-7-erros-mais-comuns-v2	7	2	1	0.2857142857142857
/concorrentes/freshdesk	1	1	1	1.0
/comparativo/controle-de-chamados	1	1	1	1.0
9-chaves-para-atender-bem-e-atender-sempre	19	1	1	0.05263157894736842
this.RdIdentificator	9	1	1	0.1111111111111111
site-exit-intent-zendeskk	2	1	1	0.5
site-exit-intent-chat	3	1	1	0.3333333333333333
/e-commerce-news/	1	1	1	1.0
/diferenca-omnichannel-multichannel/	2	1	1	0.5
site-lp-zendesk-exit-intent-testeB	2	1	1	0.5
site-exit-intent-planos-precos-testeB	1	1	1	1.0
insercao-manual	8	1	1	0.125
ebook-atendimento-ao-cliente-site	3	1	1	0.3333333333333333
lps-content-exit-itent-newsletter	6	1	1	0.16666666666666666
hubspot_via_zapier	70	1	1	0.014285714285714285
